score,sentence1_tr,sentence2_tr
3.8,Julia yazan beyaz bir otobüs suya ve büyük bir gemiye yakın.,Arka planda su ve mavna ile beyaz bir otobüs.
2.6,Raylarda eski mavi ve beyaz tren.,Dağlık bir alanda mavi bir tren.
4.0,Sahilde sarı bir tekne.,Kıyıda sarı bir tekne.
3.4,Mavi giyimli yemek masasının üzerinde kağıtlar olan bir mutfaktıra.,Küçük bir mutfak ve mavi bir masa örtüsü ile dağınık bir masa.
3.8,İstasyonda trene bin.,Kapalı bir istasyonun içinde trenler.
4.0,Pencere pervazında oturan gri bir kedi kameraya bakıyor.,Kedi pencere pervazında duruyor kameraya bakıyor.
0.0,Otururken gitar çalan adam.,Kırmızı ve beyaz otobüs yoldan geçiyor.
4.2,Kırmızı çift katlı otobüs bir caddede sürüyor.,Şehir caddesinde çift katlı bir otobüs.
4.6,Üç çimenlik bir tarlada otluyor.,Tarlada otlayan üç.
2.25,Kahverengi tren demiryolu raylarında oturuyor.,Beyaz tren raylarda oturuyor.
0.4,Tarlada duran siyah beyaz boynuzlu bir.,Kanepede oturan bir kedinin siyah beyaz fotoğrafı.
1.6,Mavi elbiseli küçük sarışın bir çocuk annesinin yanındaki masaya oturur.,Kask takan genç sarışın bir kız arkasında kırmızı bir bisikletle oturur.
2.6,Bir restoran masasında oturan bir grup insan.,Verandada bir masanın etrafında oturan bir grup insan.
0.4,Samanlı bir ağılda siyah beyaz bir.,Siyah ve beyaz bir kedi toprağın içinde uzanır.
3.2,"Kırmızı, çift katlı bir otobüs.",Kırmızı bir çift katlı otobüsün ön ve sol tarafı.
3.2,Bir atın kafasının yakından görünümü.,Bir atın kafasının yan görünümü.
3.2,Okyanusta eski moda ahşap yelkenli bir gemi.,Okyanusta ahşap bir yat.
4.4,Dağlık bir alanda duran bir koyun.,Bir tepede duran büyük bir koyun.
4.8,Pistte beyaz bir uçak.,Beyaz bir uçak pistte.
4.4,Bronzlaşmış bir köpek yavrusu okşanıyor.,Bronzlaşmış bir köpek yavrusu tutuluyor ve okşanıyor.
3.8,Ahşap mobilyalı zarif yemek odası.,Ahşap mobilyalarla döşenen zarif pembe yemek salonu.
2.0,Kanepede oturan iki adamın karşısında yatan bir kadın.,Şortla iki adam kanepede oturuyor.
3.6,Toprak yolda iki motosiklet.,Toprak tepenin üzerinden geçen iki toprak motorcu.
2.2,Siyah-beyaz kedi kameraya bakıyor.,Kameraya bakan siyah beyaz bir köpek.
5.0,Yeşil gözlü gri bir kedi kameraya bakar.,Yeşil gözlü gri bir kedi kameraya bakıyor.
0.2,Çimenli bir tepede iki kuzu duruyor.,Toprak tepenin üzerinden geçen iki toprak motorcu.
3.0,Şarap şişesi olan beyaz bir adam ve beyaz yelekli kırmızı boğazlı kazaklı bir kadın.,Bir şişe şarapla tarlada poz veren bir kadın ve erkek.
1.8,Yalnız bir bahçenin soğuğunda oturur.,tarlada duran siyah beyaz bir.
3.6,Çift katlı otobüs şehir caddesinde sürmektedir.,Kırmızı bir çift katlı otobüs caddeden geçiyor.
1.8,Bir pencere kenarında dinlenmiş büyük siyah beyaz kedi.,Lavaboda oturan küçük beyaz bir kedi.
4.2,Koyun besleyen çocuk.,Koyun samanı besleyen bir çocuk.
0.0,Siyah masaüstündeki bir kız açık bir kutu Mısır Gevreği ve bir karton süt tutuyor.,Siyah şort ve bot giyen bir kız mavi bir motosikletin yanında duruyor.
0.8,Bir tencerede küçük bir kaktüsün yakın çekimi.,beyaz bir köpek yavrusu tutan bir kadının yakın çekimi.
4.0,Beyaz koyun yeşil tepede duruyor.,Bir koyun bir yamaçta duruyor.
0.0,Arka planda çim olan bir su kütlesi üzerinde siyah beyaz bir kuş.,Arka planda dönme dolap bulunan bir otobüs yoldadır.
0.0,Asma ile ahşap bir bisiklet.,Yemek masasının etrafında oturan bir grup yaşlı insan.
4.5,Harap olmuş ahşap bir çitin siyah beyaz bir fotoğrafı.,Kirli bir sokağın yakınındaki eski bir ahşap çitin siyah beyaz bir fotoğrafı.
2.6,Yeşil bir çayırda duran iki kahverengi at.,Kahverengi bir at uzun çimlerde durur.
1.6,Bisiklet kaskı takan iki adam.,İki adam bir dükkanın önünde bisikletleriyle duruyor.
3.4,Mağazada video oyunu oynayan bir adam.,Dükkanda oyun oynayan bir adam.
3.6,Verandada bir masanın etrafında oturan bir grup insan.,Bir grup insan üzerinde yemek olan bir masanın etrafında oturuyor.
0.0,Arka planda bisikletli bisiklet kaskı takan genç bir kız.,"Bir kadın, arka planda sandalyeler olan tasmalı küçük bir köpek tutar."
5.0,üzerinde birçok etiket olan bir dur işaretinin arkası.,Dur işaretinin arkası çıkartmalarla süslenmiştir.
4.0,Kitapçının önünde bisiklet park halindedir.,Kitapçının önüne park etmiş yeşil bir bisiklet.
4.4,arkasında dönme dolap olan bir sokakta kahverengi bir çift katlı tur otobüsü.,Dönme dolabın önünde giden çift katlı bir otobüs.
0.6,Tuğla bir duvarın önünde oturan siyah beyaz bir sandalye ve vazoda bambu bitkisi olan bir pencere.,"Kalın beyaz yünle kaplı siyah başlı bir koyun, diğer koyunlarla birlikte bir merada durur."
3.6,Beyaz atlı siyah üniformalı bir adam.,Beyaz atlı smokinli bir adam.
4.0,İki kadın oturma odasında siyah bir köpekle duruyor.,"Oturma odasında duran iki kadın, kameraya bakan siyah bir köpekle."
3.2,Kırmızı bir kanoda kürek çektiren iki kişi durgun suya yansır.,Arka planda ağaçlarla kırmızı bir kanoda kürek çekiyor iki kişi.
4.0,Mavi eski moda bir arabanın farlarının yakından görünümü.,Mavi bir arabanın farlarını kapat.
2.4,Model bir binanın yakınında giden arabalar.,Süslü bir binanın bebeğini kullanan araçlar.
2.6,Mavi ve turuncu bir uçak iniş takımları aşağıda uçuyor.,İniş takımları aşağıda uçan kırmızı ve mavi bir uçak.
4.0,Battaniyenin üzerinde yatan siyah beyaz bir kedi.,Siyah beyaz bir kedi mor bir battaniyenin üzerinde uyur.
0.2,Otoparkının girişinde geçici bir tabela olan bir bina.,Bir otobüsün kuyruk lambalarının arka görüntüsüne sahip yol.
3.4,İçinde yiyecek olan bir masanın etrafında oturan bir grup insan.,Verandada bir masanın etrafında oturan bir grup insan.
3.2,Kanepede oturan ve elinde küçük bir bebek tutan bir adam ve kadın.,Kanepede oturmuş elinde bebek olan bir kadın.
3.0,Battaniyenin üzerinde yatan siyah beyaz bir kedi.,Mor bir battaniyenin üzerinde yan yatan siyah beyaz bir kedi.
1.8,Bir aşk koltuğunun siyah beyaz fotoğrafı.,Bir bisikletin siyah beyaz fotoğrafı.
4.2,Arka planda yemek masası olan bir oturma odası.,Arka planda yemek odası olan bir oturma odasının görünümü.
4.25,Kırmızı ve gri bir tren tünelden geçiyor.,Kırmızı ve gri bir tren ağaçların arasındaki bir tünelden geçer.
4.2,Kaput açık kırmızı çift katlı otobüs.,Kaputu kaldırılık eski bir Red London çift katlı otobüs.
1.8,Beyaz ata binen bir adam.,Beyaz bir ata liderlik eden bir kadın.
3.8,Arka planda yemek odası olan bir oturma odasının görünümü.,Arka planda büyük kanepeler ve yemek masası içeren bir oturma odası.
0.8,Turuncu bir yavru kedi deri bir kanepeye uzandı.,Siyah bir kanepede oturan genç çift.
3.0,Bisiklet kaskı takan bir kişi cep telefonuyla konuşuyor.,Kask takan bir kişi beyaz bir yapının yakınında bisiklete biner.
3.6,İstasyona yanaştırı bir metro treni.,İstasyona giren beyaz bir tren.
3.8,Bir dükkanın yanında bisiklet park halindedir.,Kitapçının önüne park etmiş yeşil bir bisiklet.
0.0,Sahilde duran iki adam.,Tur otobüsünün önünde duran iki kadın.
1.4,Çimenlik alanda duran uzun saçlı siyah köpek.,Çimenlik bir tarlada duran mavi bir alakarga.
0.2,Çamaşır dolabının yanında sandalyeli küçük bir masa.,"Bronz duvarlara sahip bir oda, çamaşır makinesi ve kurutma makinesi."
4.6,Sokaklarda dolaşan kırmızı çift katlı otobüs.,Kırmızı çift katlı otobüs bir caddede sürüyor.
3.0,"Bir kaz, bir su kütlesinde kanat çırpıyor.",Siyah bir kuğu kanatlarını suya çırpıyor.
4.4,Köpekle kanepede yatan çocuk.,Çocuk bir köpek yavrusuyla kanepede yatıyor.
5.0,Halının üzerinde yatan bir kedinin siyah beyaz görüntüsü.,Halının üzerinde yatan bir kedinin siyah beyaz resmi.
3.6,Havaalanında yerde büyük bir jet var.,Geceleri havaalanına park etmiş büyük bir uçak.
0.0,İki kadın bir kafede oturuyor.,Bataklıkta balık yakalayan iki adam.
4.0,Sekiz şişe Harp lager yere dizilmiş.,Ahşap zemine sekiz şişe Harp birası dizilmiş.
1.4,Kameraya gülümseyen küçük bir çocuk.,Kameraya bakan bir kedi.
2.6,Kahverengi ata binen bir kadın.,"Mavi giyinmiş, kahverengi ata binen kişi."
3.2,bir filmi gösteren bir televizyon ekranının fotoğrafı.,Duvara monte edilmiş düz ekran TV'de bir film gösteriliyor.
4.2,Saksıya tünemiş bir kuş.,Bir alçı duvarın yanındaki saksıya tünemiş bir kuş.
3.4,Lavabonun içinde oturan beyaz kedi.,Banyo lavabosunda oturan gri ve beyaz kedi.
4.4,At üstünde vitesli genç bir kadın.,Ata binen genç kız.
3.8,İki kişi küçük bir tekneyle denize açılıyor.,Yelkenlide iki kadın.
3.0,Küçük bir dalda küçük bir kuş.,Buzlu bir dala tünemiş küçük bir kuş.
1.6,Bir kayanın üzerinde oturan iki hayvan.,Uzun bir dalda oturan iki kartal.
4.2,İki kedi kanepenin arkasında oturup pencereden dışarı bakıyor.,İki kedi bir kanepenin arkasında oturuyor ve bir deniz fotoğrafında pencereden dışarı bakıyor.
4.4,İki genç kadın bir koyun kırkar.,koyunları ören iki kadın.
3.8,Genç binici kahverengi ata biner.,Kahverengi atlı genç bir kadın binici.
3.0,Altı kişi bir restoran masasında oturuyor ve kameraya bakıyor.,Bir restoran masasında oturan bir grup insan.
3.8,Burnu tahtaya kadar küçük beyaz kuzu.,Burnu tahta bir kutuya karşı olan beyaz bir kuzu.
4.6,Beyaz ve gri bir ata binen genç bir kız.,Küçük bir kız beyaz ve gri bir ata biniyor.
3.2,"Siyah bir köpek, bir şantiyedeki malzemelerin yanında duruyor.",Bir odada duran siyah bir köpek inşa ediliyor.
3.6,Bir kuş suda kanat çırpıyor.,Siyah bir kuğu kanatlarını suya çırpıyor.
3.75,Battaniyenin üzerinde yatan siyah beyaz bir kedi.,Kedi yatağında yatan siyah beyaz bir kedi.
3.8,At üstünde vitesli genç bir kadın.,Kadın kahverengi ata biniyor.
3.4,Kalkış için hazır bir uçak.,Piste yüklenen küçük bir turboprop uçak.
0.0,Çantalı beyaz deri bir kanepe ve üzerine battaniye at.,Programı açık bir televizyon.
4.2,Ahşap dolaplar ve mobilyalar içeren bir mutfak.,Ahşap masa ve dolaplar ile mutfak.
0.8,Kedi bir mısır kabuğu süpürgesi saldırıyor.,Banyo lavabosunda oturan gri ve beyaz kedi.
4.2,Bir çiftin bebeği var.,Yeni doğmuş bebeği olan bir çift.
4.25,Besleyiciden yiyen küçük bir kuş.,Kuş besleyiciden kuş yemek.
4.0,Siyah kafalı beyaz bir koyunun yakın çekimi.,Siyah kafalı bir koyunun yakın çekimi.
5.0,Bir köpekle kanepede yatan genç bir çocuk.,Küçük bir çocuk bir köpekle kanepede yatıyordu.
3.2,Kırmızı bir kuş bir ağaca tünemiş.,Bir ağaca tünemiş küçük kırmızı ve gri bir kuş.
0.4,Bir caddeye park etmiş iki otobüs.,Sarı scooter bir ara sokağa park etti.
1.0,Kameraya bakan siyah beyaz bir köpek.,"Gri, siyah ve beyaz bir kedi kameraya bakıyor."
4.8,Tren raylarında.,Tren raylarında bir tren.
3.0,Bir kulübede büyük gümüş lokomotif motoru.,Kırmızı çizgili gümüş bir tren motorunun yakın çekimi.
2.6,Masada oturup arka planda basketbol resmi olan bir kadın.,Sarili bir kadın masada otururken bir şeyler içer.
3.0,Demiryolunda seyahat eden yeşil bir buhar makinesi.,Demiryolunda seyahat eden siyah buharlı bir tren.
4.0,Yarı kamyonun üstünde küçük kırmızı bir araba.,Kırmızı spor araba beyaz yarı kamyonun üstünde.
3.4,Adam trenin önünde bir fotoğraf için poz veriyor.,Gümüş bir trenin önündeki peronda duran bir adam.
3.4,Siyah ve kırmızı yarış bisikletli siyahlı bir bisikletçi.,Siyah beyaz liralı bir bisikletçi seyircileri hızla geçiyor.
3.8,Raflarda kaseler olan bir mutfak lavabosu ve tezgahı.,Raflara ve tezgaha yığılmış eşyaların yer ettiği küçük bir mutfak.
3.2,Birkaç kitaplık olan dağınık bir odada bir televizyon.,"Televizyon, müzik seti ve kitaplık içeren bir oda."
2.8,Mor bir battaniyenin üzerinde yan yatan siyah beyaz bir kedi.,Güneşte yerde yatan siyah beyaz bir kedi.
3.8,Geniş bir beton alanda bisiklete binen bir kadın.,Geniş bir beton alanda dağ bisikletiyle giden bir kadın.
2.8,Büyük bir tarlada duran iki.,İnek tarlada otluyor.
3.4,Kel bir adam çitin diğer tarafındaki siyah bir atın burnuna dokunur.,Sakallı kel bir adam çitteki siyah beyaz bir atın burnunu evcil eder.
4.0,Sarı bir spor arabanın yanında duran bir adam var.,Sarı bir Corvette'in yanında duran bir adam var.
3.2,ahırlarındaki siyah beyaz bir fotoğrafı.,Bir çukurda sığırların siyah beyaz bir fotoğrafı.
4.2,Arka planda London Eye dönme dolabı ile çift katlı otobüs.,arkasında dönme dolap olan bir sokakta kahverengi bir çift katlı tur otobüsü.
0.6,"Sarı ve siyah bir kuş, bir kuş besleyiciden yer.",Bir su kütlesinin üzerinde uçan bir kuş sürüsü.
3.8,Bir adam trenin önünde duruyor.,Gümüş bir trenin önündeki peronda duran bir adam.
4.6,Hava meydanına park etmiş küçük bir uçak.,Bulutlu bir günde havaalanına park etmiş küçük beyaz bir uçak.
3.4,Küçük bir uçağın yanında bir tekne suyun üzerinde.,Bir tekne suda ve küçük bir uçak rıhtımda.
0.6,Arenada beyaz ata binen bir adam.,Evcil bir hayvan bir ağılda durur.
4.2,Yerde oturan bir Macintosh bilgisayar.,Yerdeki bir bilgisayar.
0.4,Siyah beyaz bir kedi kahverengi bir sandalyede oturmuş yukarı bakıyor.,Yeşil bir çöp konteynerinin yanında sarı bir sandalyede oturan bir köpek.
2.8,koyunlar bir alanda duruyor.,Büyük bir köpek tarlada bir koyunun yanında durur.
3.4,Bir masanın etrafında oturan bir grup yaşlı insan.,Bir grup yaşlı yemek masasının etrafında poz veriyor.
2.8,Kahverengi saçlı üç kadın gülümsüyor.,Kalabalık bir odada gülümseyen Hint elbiseli üç kadın.
1.6,Boş bir tren istasyonunun siyah beyaz fotoğrafı.,Kanepede oturan bir kedinin siyah beyaz fotoğrafı.
0.0,Çitle çevrili bir köpek kulübesinin içinde iki köpek ileriye bakıyor.,Pruvada poz veren bir adamdaki iki kız.
0.6,Çitin içinden bakan siyah beyaz bir.,Güneşte yerde yatan siyah beyaz bir kedi.
1.8,Bir pazar meydanında motosikletli birkaç kişi.,İnsanlar kentsel bir ortamda mopedlere binerler.
1.8,Çimlerde bir koyunun yakın çekimi.,"Kulağı etiketli, çimlerin üzerinde duran bir kuzunun yakın çekimi."
2.0,"Evcil kedi, kedi kumunun arkasına uzanır.",Siyah branda altında tan evcil kedi.
3.2,İki yeşil kuş ahşap bir telefon direğine doğru uçar.,Telefon tellerinin üzerinde uçan iki yeşil kuş.
3.0,Bir adam yanında dururken motosiklette oturan bir kişi.,Bir adam boş bir otoparkta motosikletli kasklı bir adamın yanında duruyor.
2.6,Tarlada otlayan üç.,İki tarlada otluyor.
4.4,Eldivenli bir ele tünemiş mavi bir kuş.,"Bir kuş, bir kişinin eldivenli eline tünemiş."
4.0,Bir bebek ketçap paketi tutar.,Mama sandalyeslerindeki bir bebek ketçap paketi tutar.
4.2,Bir atın kafasının yakından görünümü.,Kahverengi bir atın kafasının yakın çekimi.
5.0,Tren istasyonunda.,İstasyonda bir tren.
3.6,Tarlada duran koyu kahverengi bir at.,Tarlada duran at.
0.8,Tahta bir kirişin üzerinde yatan küçük bir kedi kameraya bakıyor.,Küçük köpek bir kazak giyiyor ve kameraya bakıyor.
2.5,Siyah kuş yerde oturuyor.,Kuş dalda oturuyor.
2.0,Küçük kahverengi kuşlar ağaca asılı bir kuş besleyiciden yiyor.,Bir ağaca tünemiş küçük kırmızı ve gri bir kuş.
4.4,Mor bir topla oynayan bir çift köpek.,İki köpek mor futbolla oynar.
0.6,Bir kuş suya iner.,Bir tekne suda yüzüyor.
4.6,Üç çocuk bir çitin üzerinde veya yakınında durur.,Üç çocuk bir çitin yanında duruyorlar.
4.8,Siyah bir köpek ağzında beyaz bir top ile sudan çıkar.,Ağzında beyaz bir top ile sudan çıkan siyah bir köpek.
0.4,Mor gömlekli ve pembe kafa bandıyla poz veren bir kız,Şapka ve kot pantolon giyen genç bir kız salıncakta.
0.0,Bir bitkinin önünde çukur kazmak kahverengi bir köpek,Demiryolunun kenarında yürüyen bir grup insan.
4.6,Kahverengi ve beyaz köpek yüzme havuzunda yüzüyor.,Kahverengi ve beyaz bir köpek arka bahçedeki yüzme havuzunda yüzer.
0.0,Kırmızı kızaklı bir çocuk tepeden aşağı iniyor.,Çimlerin üzerinde çömelmiş kırmızı yakalı çok renkli bir köpek.
4.0,Siyah ve kahverengi bir köpek ormandan geçiyor.,Ormanda koşan bir köpek.
4.4,İki köpek çimlerin üzerinde koşuyor.,çimlerde iki köpek oynuyor.
0.6,Genç bir kız barış işareti tutar.,Küçük bir kız şehir caddesinde bir direğe tutunur.
0.6,Bir adam suyun üstündeki uçurumdan bir çizgide asılı duruyor.,Bir şişe suyla iskelede tek başına oturan adam.
4.6,Çömelmiş ve elinde kamera olan bir adam.,Çömelmiş adam elinde büyük bir kamera tutuyor.
2.6,Dar bir yolda bisiklete binen adam.,Asfalt bir yolda tek tekerlekli bisiklete binen bir adam.
0.6,Turuncu ceket giyen bir adam karda yürürken başka bir adamla konuşur.,Eski moda kıyafetler giymiş bir kadın ve erkek dışarıda bir masada oturuyor.
4.0,Bir köpek bir oyuncak yakalamak için havaya zıplıyor.,Siyah bir köpek bir oyuncak yakalamak için havaya atlar.
0.0,Mavi bir örtünün üzerinde yatan kahverengi bir köpek.,Bir kişi berrak mavi suya dalıyor.
0.0,İki çocuk sahada oynuyor.,İki kişinin başı atkılarla kaplı.
2.2,İki köpek çimlerin arasında koşuyor.,Üç köpek karda koşar.
4.0,Kolu kırık bir çocuk yatakta dinleniyor.,Kolu kırık bir çocuk uyuyor.
4.8,kaykay üzerinde hileler yapan çocuk,Bir çocuk kaykayda numara yapar.
2.6,Karda oynayan üç köpek.,Suda üç köpek oynuyor.
1.2,Saçında kurdele olan küçük bir kız burnunu karıştırıyor.,Mor gömlekli ve kasklı küçük bir kız scooter'a biniyor.
1.8,Genç bir kız tüp kaydıranına giriyor.,Lastik salıncağında sallanan genç bir kız.
2.6,Üç tekerlekli bisikletli bir adam da dahil olmak üzere birçok insan bisiklet yarışında.,Üç tekerlekli sandalyeye binen bir adam.
0.8,Bir grup insan tavşan kulağı takıyor.,Bir grup insan bir yarışta biner.
4.0,"""Süpermen"" gömlekli bir köpek battaniyenin üzerinde uyur.",Süpermen gömlekli kahverengi bir köpek mavi bir battaniyenin üzerinde yatıyor.
4.8,Beyaz ve kahverengi köpek çimlerin üzerinden geçiyor.,Kahverengi ve beyaz bir köpek çimlerin üzerinden geçer.
3.8,Kahverengi bir köpek pençelerini dizüstü bilgisayar klavyesinde dinlendirmekte.,"Bir köpek, pençeleriyle bir dizüstü bilgisayarda oturur."
2.6,Gözlüklü genç bir kız oturur ve iki Amerikan bayrağı tutar.,Gözlüklü bir kız ormanlık bir alanın yakınında iki Amerikan bayrağına bakıyor.
3.0,Küçük beyaz ve kahverengi bir köpek yatay bir direğin üzerinden atlıyor.,kırmızı ve sarı bir direğin üzerinden atlayan kahverengi ve beyaz bir köpek
4.8,İki köpek çimenlik bir alanda koşuyor.,Çimenlik bir tarlada koşan iki köpek.
1.6,Bir adam suyun üstündeki ipte sallanıyor.,Geceleri maymun barlarında sallanan sıcak elbiseli bir adam.
4.6,İki Asyalı erkek ve Asyalı kadın siyah masaj sandalyelerinde oturuyor.,İki Asyalı erkek ve bir kadın masaj sandalyelerinde dinleniyor.
5.0,Oynayan bir kız renkli toplarla dolu.,Küçük bir kız renkli toplar çukurunda oynar.
0.0,Yaşlı bir adam dışarıda bir kamyonun önünde duruyor.,Yeşil giyinmiş bir kadın bir etkinlikte dışarıda paten kayıyor.
4.6,Yansıtıcı dersleri olan gülümseyen adam.,Gülümseyen ve yansıtıcı güneş gözlüklerini gösteren bir beyefendi.
4.8,kaldırımda duran beş kişi,Kaldırımda beş kişi.
1.4,Beyaz köpek karda koşuyor.,Beyaz bir ayı karla kaplı zeminde yürür ve kara gölge düşürür.
1.2,Kahverengi ceketli genç bir çocuk karla oynuyor.,İki köpek karda oynuyor.
2.4,Büyük bir kayayı toplayan bir adam.,Büyük bir kayayı toplayan bir kadın.
4.6,Beyaz ve kahverengi bir köpek çimlerin üzerinden koşuyor.,Kahverengi ve beyaz bir köpek çimlerin üzerinden koşuyor.
0.0,Adam kaldırımda bir alet çantası taşıyor.,Bir kadın parkta mavi bisiklet sürüyor.
3.4,"Üzerinde ""Jigolo"" yazan bir tişört giyen bir adam tezgahın önünde durup biriyle konuşuyor.","Üzerinde ""Jigolo"" yazan bir gömlek giyen bir adam, sırtını kameraya dayamış bir şekilde resepsiyonun önünde duruyor."
0.0,Güneş ışığı alanlarda bir çadır ve kamp alanı.,Sahildeki beyaz bir köpek ağzında bir sopa taşıyor.
4.2,İki büyük köpek çimlerin arasında koşuyor.,Çimlerde koşan iki brindle köpeği.
2.6,Ağzında sopayla yüzen bir köpek.,Ağzında sopayla koşan bir köpek.
2.33,İki kahverengi köpekle getirme oyunu oynayan bir adam.,Bir kadın kahverengi bir köpekle oynar.
3.6,Bir köpek ağzında bir sopayla kumun üzerinden geçiyor.,Bir köpek ağzında bir sopayla derenin içinden geçiyor.
3.4,Şelalenin yanında suda duran bir adam var.,Bir adam suya girer ve suyun düşüşünü izler.
3.0,Bronz bir köpek tenis topu yakalamak için zıplar.,Kırmızı bir köpek ağzında bir tenis topu yakalar atlar.
2.4,Adam suya atlıyor.,Adam havada.
2.4,Siyah gömlekli bir kadın meyve standında muzların önünde duruyor.,Siyah giyen bir kadın kamyonetin önünde duruyor.
1.2,Bir çocuk yüzme havuzuna atlıyor.,Yüzme havuzuna atlayan bir köpek.
4.8,Küçük bir çocuk bir sandalyeden diğerine atlıyor.,Genç bir çocuk evinde bir sandalyeden diğerine atlıyor
0.0,"Bir kız uzun, ıslak saçlarını gölde sallıyor.",Toprak bisiklete binen biri.
2.8,Kıyıda oynayan iki köpek.,Karda oynayan iki köpek.
0.0,Küçük bir kız arka planda mavi kubbelerle tahta kaldırımda yürüyor.,Arka planda bir nehir ile bisikletiyle atlayan bir adam
2.2,"Bir bankta oturan iki kadının yüzleri gizlenmiş, bir kadın şişme kaplan taşırken, diğeri disney kar beyazı kostümü giymiş.","Bir kız, renkli bir kıyafetle başka bir kızın yanında şişme bir kaplan tutan bir bankta oturur."
0.0,Bir adam ve iki kız kameraya gülümsüyor.,"Biri beyaz, ikisi kahverengi üç köpek çim alanda birlikte koşuyor."
5.0,Ağzında sopayla yüzen bir köpek.,Ağzında bir sopayla suda yüzen köpek.
5.0,Siyah bir kaniş karda oynar.,Siyah bir kaniş karda eğleniyor.
1.4,korkunç bir film el ilanı tutan iki kız,Elinde çuval tutan iki kız tarlada duruyor.
3.2,Üç çocuk sahilde koşup oyun oynuyor.,İki genç çocuk ve bir genç adam arkalarında su olan bir sahilde koşuyorlar.
1.6,Bir kız mor bir kuşak ve uyumlu bir etek giyiyor.,Bir grup kız kot etek ve süpermen gömlekleri giyiyor.
0.6,Sokağın kenarında duran gri ceketli bir adam.,Mavi bir can yeleği giyen bir çocuk yeşil bir teknenin kenarına tutunuyor.
5.0,Kahverengi ve siyah bir köpek kırmızı bir topu yakalamak için zıplıyor.,Kahverengi ve siyah bir köpek kırmızı bir top için atlar.
1.8,Bronz köpek yaprakların arasından geçer.,Beyaz köpek okyanustan geçiyor.
0.0,Beyaz ve siyah bir köpek havuza atlıyor.,Siyah önlükli bir kadın aynanın önünde duruyor.
3.0,Siyah beyaz bir köpek ağzında bir sopa taşıyor.,Siyah ve beyaz köpeğin pençelerinde bir sopa vardır.
5.0,Bir geyik çitlerden atlar.,Çitin üzerinden atlayan bir geyik.
2.2,Küçük bir kız tahta bir sopa tutar.,Havuzda yüzen küçük bir kız.
2.4,Siyah bir köpek suya atlar.,Bir köpek karda yürür.
4.2,Kırmızı itfaiye aracının önünde bir grup insan.,Bir grup insan kırmızı bir itfaiye aracının etrafında duruyor.
3.4,Bir çocuk mavi havuz suyuna atlar.,Genç çocuk karnındaki havuza atlıyor.
0.0,Sarışın bir köpek karda ağzında bir top yakalıyor.,Küçük sarışın bir kız yeşil bir sandalyede oturuyor.
3.8,Üç çocuk ve yerde oynayıp gülüyorlar.,Yerde oynayan üç çocuk.
3.4,Bir adam bir su kütlesinin yanında oltalarla oturur.,Bir adam katlanır güverte sandalyesi ve bir oltanın yanındaki kayanın üzerine oturur.
0.0,Çimlerin arasında duran bir kadın ve bir köpek.,Bir adam yağmurda dururken bir işaret taşır.
1.0,Mavi gömlekli bir adam stadyum sahasında koşuyor.,Mavi şapkalı ve gömlekli bir adam beyaz bir ata biniyor.
4.8,Suyun içinden geçen siyah bir köpek.,Siyah bir köpek suyun içinden geçiyor.
0.0,Trambolinde zıplayan çocuklar.,Bir adam turuncu bir kaydıranın üzerinde kızakla kayıyor.
3.0,Büyük kahverengi bir köpek çimenli bir tarlada çömelmiş.,Kahverengi bir köpek tarlada koşuyor.
2.2,Çimlerin arasından bir köpek geçiyor.,Bir köpek karda koşar.
0.2,Bir kayakçı karda hızla ilerler.,Frizbi taşıyan kahverengi bir köpek karda koşar.
5.0,İki kişi golf sahasında golf oynuyor.,İki kişi golf sahasında golf oynuyor.
0.8,Sahilde oynayan bir kız ve bir erkek.,Dalgalarda topla oynayan bir köpek.
0.8,Kırmızı ceketli çocuk kırmızı paspasa uzandı.,Yürümeye başlayan çocuk kırmızı ekipman parçasına tırmanmaya hazır.
5.0,çimlerde iki köpek oynar.,çimlerde iki köpek oynuyor.
4.0,Mavi ve beyaz takım üniformalı bir çocuk futbol toplarını kovalıyor.,Mavi futbol üniformalı genç bir çocuk topu kovalıyor.
2.8,Bir softball oyuncusu bir atışta sallanıyor.,Topa vuran bir beyzbol oyuncusu
2.8,Bir adam kameradan uzakta uçurtma sörfü yapıyor.,Bir adam gökyüzünde sörf yapıyor.
1.0,Siyah bir köpek çimlerde koşuyor.,Yeşil çimlerin arasında koşan bir çocuk.
2.0,Küçük bir oğlan ve küçük bir kız dışarıda birlikte oynuyorlar.,Genç bir çocuk ve genç bir kız birbirlerine doğru yürüyorlar.
4.2,Rıhtımın sonunda iki kişi oturuyor.,Rıhtımda oturan iki kişi.
2.0,Bahçede iki köpek var.,Derede iki köpek.
2.2,"Bir adam, bir oyun alanına girmek için bariyeri geçmeye çalışan bir köpeği kovalar.",Bir adam engel parkurunda siyah beyaz köpeğini takip eder.
4.0,Büyük kahverengi ve beyaz köpek karda koşuyor.,St. Bernard köpeği karlı tarlada koşuyor.
2.0,Kanlı bir adam ve kadın bir fotoğraf için poz veriyor.,Sıcak giyimli kadınlı bir adam bir fotoğraf için poz veriyor.
0.4,Sarı bir köpek çiçeklerin yakınındaki çimenlik bir alanda oynuyor.,Bir kız salıncakta oynuyor.
4.6,Bir çocuk havuz kenarında erişte ile oynuyor.,Bir çocuk havuz kenarında köpük erişteli oyuncakla oynar.
